"filename", "language", "cpp", "Database", "comment", "blank", "total"
"/home/samchau/Uni/OOProject/include/Drawable/DynamicSprite.cpp", "cpp", 69, 0, 0, 9, 78
"/home/samchau/Uni/OOProject/include/Drawable/Sprite.cpp", "cpp", 70, 0, 0, 27, 97
"/home/samchau/Uni/OOProject/include/Drawable/Text.cpp", "cpp", 67, 0, 0, 18, 85
"/home/samchau/Uni/OOProject/include/Entity/Entity.cpp", "cpp", 75, 0, 0, 22, 97
"/home/samchau/Uni/OOProject/include/Entity/Golem.cpp", "cpp", 16, 0, 0, 5, 21
"/home/samchau/Uni/OOProject/include/Entity/Pilgrim.cpp", "cpp", 13, 0, 0, 5, 18
"/home/samchau/Uni/OOProject/include/Entity/Player.cpp", "cpp", 28, 0, 0, 7, 35
"/home/samchau/Uni/OOProject/include/Entity/Viking.cpp", "cpp", 13, 0, 0, 3, 16
"/home/samchau/Uni/OOProject/include/Instance/Game.cpp", "cpp", 46, 0, 0, 15, 61
"/home/samchau/Uni/OOProject/include/Instance/Path.cpp", "cpp", 3, 0, 0, 2, 5
"/home/samchau/Uni/OOProject/include/Instance/animations.db", "Database", 0, 13, 0, 0, 13
"/home/samchau/Uni/OOProject/include/State/MapState.cpp", "cpp", 148, 0, 0, 23, 171
"/home/samchau/Uni/OOProject/include/State/MenuState.cpp", "cpp", 130, 0, 0, 33, 163
"/home/samchau/Uni/OOProject/include/State/PickState.cpp", "cpp", 210, 0, 0, 36, 246
"/home/samchau/Uni/OOProject/include/State/PlayState.cpp", "cpp", 357, 0, 0, 59, 416
"/home/samchau/Uni/OOProject/include/State/State.cpp", "cpp", 7, 0, 0, 1, 8
"Total", "-", 1252, 13, 0, 265, 1530